,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,o7NYe_JTnouNJUHTM5i9zg,samo-s-oaxaca-santa-monica,SaMo’s Oaxaca,https://s3-media2.fl.yelpcdn.com/bphoto/3vulA-2fGVQlmLG0SkbIBA/o.jpg,False,https://www.yelp.com/biz/samo-s-oaxaca-santa-monica?adjust_creative=fPb8QzZ3OOT8Tw6Vx_DVEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fPb8QzZ3OOT8Tw6Vx_DVEg,253,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 34.01277467, 'longitude': -118.48299017}","['pickup', 'delivery']",$,"{'address1': '1865 Lincoln Blvd', 'address2': None, 'address3': None, 'city': 'Santa Monica', 'zip_code': '90404', 'country': 'US', 'state': 'CA', 'display_address': ['1865 Lincoln Blvd', 'Santa Monica, CA 90404']}",+14243228370,(424) 322-8370,6717.875795879982
1,PqJTQOGvD6Iq7jl0WOQ7zQ,lanea-santa-monica,Lanea,https://s3-media2.fl.yelpcdn.com/bphoto/cyxvRlovGDn7tqbSeW8lww/o.jpg,False,https://www.yelp.com/biz/lanea-santa-monica?adjust_creative=fPb8QzZ3OOT8Tw6Vx_DVEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fPb8QzZ3OOT8Tw6Vx_DVEg,221,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 34.0140617099057, 'longitude': -118.495290353894}","['pickup', 'delivery']",$$,"{'address1': '217 Broadway', 'address2': '', 'address3': None, 'city': 'Santa Monica', 'zip_code': '90401', 'country': 'US', 'state': 'CA', 'display_address': ['217 Broadway', 'Santa Monica, CA 90401']}",+14242657437,(424) 265-7437,7830.393724314067
2,QtF_UDvZfI-6snpRsyO1Aw,pch-mexican-grill-and-seafood-los-angeles,PCH Mexican Grill & Seafood,https://s3-media2.fl.yelpcdn.com/bphoto/XmTSEK8_WhN6om23ZRC4TA/o.jpg,False,https://www.yelp.com/biz/pch-mexican-grill-and-seafood-los-angeles?adjust_creative=fPb8QzZ3OOT8Tw6Vx_DVEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fPb8QzZ3OOT8Tw6Vx_DVEg,7,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tacos', 'title': 'Tacos'}]",5.0,"{'latitude': 34.026384185511596, 'longitude': -118.4268991}","['pickup', 'delivery']",,"{'address1': '3120 S Sepulveda Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['3120 S Sepulveda Blvd', 'Los Angeles, CA 90034']}",+14242930388,(424) 293-0388,1652.5931575805055
3,ith6Gz0B9JXnSw1TIKMQ3g,barbacoa-j-gonzalez-los-angeles,Barbacoa J Gonzalez,https://s3-media4.fl.yelpcdn.com/bphoto/hxh63h28Y4O7hoZziT5HXw/o.jpg,False,https://www.yelp.com/biz/barbacoa-j-gonzalez-los-angeles?adjust_creative=fPb8QzZ3OOT8Tw6Vx_DVEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fPb8QzZ3OOT8Tw6Vx_DVEg,5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 34.0342803266407, 'longitude': -118.186986931016}",['delivery'],,"{'address1': '3785 E 3rd St', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90063', 'country': 'US', 'state': 'CA', 'display_address': ['3785 E 3rd St', 'Los Angeles, CA 90063']}",+13239453668,(323) 945-3668,20671.35110832228
4,B7taoiCdvNVEFFgAJHWElA,casa-de-papi-canoga-park,Casa De Papi,https://s3-media2.fl.yelpcdn.com/bphoto/WeO4j4_XapZh8N18-4X8pg/o.jpg,False,https://www.yelp.com/biz/casa-de-papi-canoga-park?adjust_creative=fPb8QzZ3OOT8Tw6Vx_DVEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fPb8QzZ3OOT8Tw6Vx_DVEg,410,"[{'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 34.200576, 'longitude': -118.613657}",['delivery'],$,"{'address1': '22330 Sherman Way', 'address2': 'C5', 'address3': '', 'city': 'Canoga Park', 'zip_code': '91303', 'country': 'US', 'state': 'CA', 'display_address': ['22330 Sherman Way', 'C5', 'Canoga Park, CA 91303']}",+18188886664,(818) 888-6664,27422.884216480634
5,n-BBhi1UivpMQdIzhMeB-w,el-norte-restaurant-wilmington,El Norte Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/hOQI7Xa_te8dJkUeGznTCg/o.jpg,False,https://www.yelp.com/biz/el-norte-restaurant-wilmington?adjust_creative=fPb8QzZ3OOT8Tw6Vx_DVEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fPb8QzZ3OOT8Tw6Vx_DVEg,19,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 33.7816889584064, 'longitude': -118.242901191115}","['pickup', 'delivery']",$,"{'address1': '815 Cristobal Ave', 'address2': '', 'address3': '', 'city': 'Wilmington', 'zip_code': '90744', 'country': 'US', 'state': 'CA', 'display_address': ['815 Cristobal Ave', 'Wilmington, CA 90744']}",+13105491978,(310) 549-1978,30682.403744203188
6,NeffSX9X24s1REVZxblDJg,el-charros-barbacoa-city-of-industry-2,El Charros Barbacoa,https://s3-media3.fl.yelpcdn.com/bphoto/ngJTys7rYZPJH0ewfwBX-A/o.jpg,False,https://www.yelp.com/biz/el-charros-barbacoa-city-of-industry-2?adjust_creative=fPb8QzZ3OOT8Tw6Vx_DVEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fPb8QzZ3OOT8Tw6Vx_DVEg,14,"[{'alias': 'foodstands', 'title': 'Food Stands'}]",4.5,"{'latitude': 34.058468, 'longitude': -117.985046}",[],,"{'address1': '13332 Amar Rd', 'address2': None, 'address3': '', 'city': 'City of Industry', 'zip_code': '91746', 'country': 'US', 'state': 'CA', 'display_address': ['13332 Amar Rd', 'City of Industry, CA 91746']}",+19097750864,(909) 775-0864,39446.76551257321
7,RBoyiYAdtT4j94OJ3jwgyA,huaraches-y-quesadillas-chayito-los-angeles,Huaraches Y Quesadillas Chayito,https://s3-media1.fl.yelpcdn.com/bphoto/YO2HzcPz4a4983vPK80Fwg/o.jpg,False,https://www.yelp.com/biz/huaraches-y-quesadillas-chayito-los-angeles?adjust_creative=fPb8QzZ3OOT8Tw6Vx_DVEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fPb8QzZ3OOT8Tw6Vx_DVEg,17,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 34.2674136138045, 'longitude': -118.420042860223}",[],$,"{'address1': '13180 Van Nuys Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '91331', 'country': 'US', 'state': 'CA', 'display_address': ['13180 Van Nuys Blvd', 'Los Angeles, CA 91331']}",+18186656421,(818) 665-6421,27512.68973644426
8,zIxOUZp5AQ-A1JLpqeEeBw,moys-meat-market-hawthorne-3,Moy's Meat Market,https://s3-media2.fl.yelpcdn.com/bphoto/FANiOuNC0eNbTsEWbYSHrw/o.jpg,False,https://www.yelp.com/biz/moys-meat-market-hawthorne-3?adjust_creative=fPb8QzZ3OOT8Tw6Vx_DVEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fPb8QzZ3OOT8Tw6Vx_DVEg,77,"[{'alias': 'meats', 'title': 'Meat Shops'}]",4.5,"{'latitude': 33.906167, 'longitude': -118.361659}","['pickup', 'delivery']",$,"{'address1': '13763 S Inglewood Ave', 'address2': '', 'address3': '', 'city': 'Hawthorne', 'zip_code': '90250', 'country': 'US', 'state': 'CA', 'display_address': ['13763 S Inglewood Ave', 'Hawthorne, CA 90250']}",+13106752480,(310) 675-2480,13451.00416097437
9,vC_6J_nGyf4J8xt-Vu6Shw,chichen-itza-restaurant-los-angeles-3,Chichen Itza Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/pUYugslKCDEw8HEKTBdvEQ/o.jpg,False,https://www.yelp.com/biz/chichen-itza-restaurant-los-angeles-3?adjust_creative=fPb8QzZ3OOT8Tw6Vx_DVEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fPb8QzZ3OOT8Tw6Vx_DVEg,1379,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,"{'latitude': 34.017358, 'longitude': -118.278406}","['pickup', 'delivery']",$$,"{'address1': '3655 S Grand Ave', 'address2': 'Ste C6', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90007', 'country': 'US', 'state': 'CA', 'display_address': ['3655 S Grand Ave', 'Ste C6', 'Los Angeles, CA 90007']}",+12137411075,(213) 741-1075,12191.511100180584
